Instances,50,100,200,500,1000
0,13585,22689,48841,131008,243069
1,11791,25389,48102,123764,254777
2,11793,25391,48106,123577,254777
3,14191,30342,58007,148516,304057
4,11792,25391,48106,123690,254777
5,11793,25391,48106,123764,254777
6,2401186,4902351,9904984,24712830,49523374
7,6578,11914,25921,63365,120497
8,6437,11951,23770,64611,125478
9,6461,12004,23700,64553,125478
10,11790,25386,48102,123762,254772
11,11792,25390,48105,123763,254777
12,11793,25391,48106,123764,254777
